x_axis,dose,mean,lower,upper
503,1,0.950758132,0.949910235,0.951606029
504,1,0.950751579,0.949898962,0.951604197
505,1,0.950744371,0.949886668,0.951602075
506,1,0.950736498,0.949873334,0.951599661
507,1,0.950727949,0.949858942,0.951596955
508,1,0.950718716,0.949843476,0.951593957
509,1,0.950708794,0.949826922,0.951590666
510,1,0.950698174,0.949809264,0.951587083
511,1,0.950686849,0.949790492,0.951583205
512,1,0.950674814,0.949770594,0.951579033
513,1,0.950662064,0.949749561,0.951574566
514,1,0.950648594,0.949727387,0.951569802
515,1,0.950634401,0.949704063,0.95156474
516,1,0.950619481,0.949679585,0.951559377
517,1,0.950603832,0.949653951,0.951553714
518,1,0.950587452,0.949627159,0.951547746
519,1,0.95057034,0.949599206,0.951541473
520,1,0.950552494,0.949570096,0.951534892
521,1,0.950533915,0.94953983,0.951528
522,1,0.950514604,0.949508412,0.951520796
523,1,0.950494561,0.949475847,0.951513275
524,1,0.950473789,0.949442141,0.951505437
525,1,0.95045229,0.949407302,0.951497278
526,1,0.950430067,0.949371338,0.951488797
527,1,0.950407124,0.949334259,0.951479988
528,1,0.950383465,0.949296077,0.951470852
529,1,0.950359095,0.949256803,0.951461386
530,1,0.950334019,0.949216451,0.951451587
531,1,0.950308243,0.949175034,0.951441453
532,1,0.950281775,0.949132567,0.951430983
533,1,0.950254621,0.949089067,0.951420175
534,1,0.950226789,0.94904455,0.951409028
535,1,0.950198287,0.948999034,0.951397541
536,1,0.950169124,0.948952536,0.951385713
537,1,0.950139311,0.948905077,0.951373544
538,1,0.950108855,0.948856675,0.951361035
539,1,0.950077768,0.948807351,0.951348185
540,1,0.950046061,0.948757127,0.951334995
541,1,0.950013746,0.948706024,0.951321467
542,1,0.949980833,0.948654064,0.951307603
543,1,0.949947336,0.94860127,0.951293403
544,1,0.949913268,0.948547665,0.95127887
545,1,0.949878641,0.948493274,0.951264009
546,1,0.949843471,0.94843812,0.951248821
547,1,0.949807769,0.948382229,0.95123331
548,1,0.949771553,0.948325624,0.951217481
549,1,0.949734836,0.948268333,0.951201338
550,1,0.949697634,0.948210381,0.951184887
551,1,0.949659963,0.948151793,0.951168132
552,1,0.949621839,0.948092598,0.95115108
553,1,0.949583279,0.948032821,0.951133736
554,1,0.949544299,0.94797249,0.951116109
555,2,0.949504917,0.947911632,0.951098203
556,2,0.956636691,0.954983669,0.958289714
557,2,0.956596555,0.954964889,0.958228221
558,2,0.956556067,0.954945631,0.958166502
559,2,0.956515243,0.954925903,0.958104583
560,2,0.956474101,0.954905712,0.95804249
561,2,0.956432657,0.954885066,0.957980249
562,2,0.956390929,0.954863972,0.957917886
563,2,0.956348932,0.954842438,0.957855426
564,2,0.956306684,0.954820472,0.957792897
565,2,0.956264202,0.954798081,0.957730323
566,2,0.956221502,0.954775275,0.95766773
567,2,0.956178601,0.954752059,0.957605143
568,2,0.956135517,0.954728444,0.95754259
569,2,0.956092267,0.954704438,0.957480096
570,2,0.956048869,0.95468005,0.957417687
571,2,0.956005339,0.954655289,0.957355389
572,2,0.955961697,0.954630165,0.957293228
573,2,0.955917959,0.954604688,0.95723123
574,2,0.955874144,0.954578866,0.957169421
575,2,0.95583027,0.954552712,0.957107827
576,2,0.955786354,0.954526235,0.957046474
577,2,0.955742416,0.954499445,0.956985386
578,2,0.955698472,0.954472355,0.956924589
579,2,0.955654542,0.954444975,0.956864109
580,2,0.955610643,0.954417316,0.95680397
581,2,0.955566793,0.954389391,0.956744196
582,2,0.955523012,0.954361212,0.956684811
583,2,0.955479315,0.95433279,0.95662584
584,2,0.955435723,0.954304139,0.956567306
585,2,0.955392252,0.954275272,0.956509232
586,2,0.955348921,0.954246201,0.95645164
587,2,0.955305746,0.954216941,0.956394552
588,2,0.955262747,0.954187505,0.95633799
589,2,0.955219941,0.954157907,0.956281974
590,2,0.955177344,0.954128162,0.956226526
591,2,0.955134974,0.954098284,0.956171664
592,2,0.955092849,0.954068289,0.956117408
593,2,0.955050984,0.954038192,0.956063777
594,2,0.955009398,0.954008009,0.956010787
595,2,0.954968106,0.953977756,0.955958456
596,2,0.954927125,0.95394745,0.955906801
597,2,0.954886471,0.953917106,0.955855836
598,2,0.95484616,0.953886744,0.955805576
599,2,0.954806208,0.953856379,0.955756037
600,2,0.954766629,0.953826029,0.955707229
601,2,0.954727439,0.953795713,0.955659166
602,2,0.954688654,0.953765448,0.955611859
603,2,0.954650287,0.953735254,0.95556532
604,2,0.954612353,0.953705149,0.955519557
605,2,0.954574865,0.953675151,0.95547458
606,2,0.954537838,0.95364528,0.955430396
607,2,0.954501286,0.953615556,0.955387015
608,2,0.95446522,0.953585998,0.955344442
609,2,0.954429653,0.953556624,0.955302683
610,2,0.954394599,0.953527454,0.955261743
611,2,0.954360068,0.953498509,0.955221627
612,2,0.954326073,0.953469807,0.955182339
613,2,0.954292625,0.953441368,0.955143881
614,2,0.954259734,0.953413211,0.955106257
615,2,0.954227411,0.953385355,0.955069467
616,2,0.954195667,0.953357819,0.955033514
617,2,0.95416451,0.953330622,0.954998398
618,2,0.95413395,0.953303781,0.954964118
619,2,0.954103996,0.953277316,0.954930675
620,2,0.954074656,0.953251244,0.954898069
621,2,0.954045939,0.953225582,0.954866296
622,2,0.954017851,0.953200346,0.954835357
623,2,0.953990401,0.953175553,0.954805249
624,2,0.953963594,0.95315122,0.954775969
625,2,0.953937437,0.95312736,0.954747514
626,2,0.953911936,0.953103989,0.954719883
627,2,0.953887096,0.953081121,0.95469307
628,2,0.953862922,0.95305877,0.954667074
629,2,0.953839418,0.953036947,0.954641889
630,2,0.953816588,0.953015665,0.954617511
631,2,0.953794436,0.952994935,0.954593937
632,2,0.953772966,0.952974769,0.954571162
633,2,0.953752178,0.952955175,0.954549181
634,2,0.953732076,0.952936163,0.954527988
635,2,0.953712661,0.952917742,0.95450758
636,2,0.953693934,0.952899919,0.95448795
637,2,0.953675897,0.9528827,0.954469093
638,2,0.953658548,0.952866092,0.954451003
639,2,0.953641888,0.952850101,0.954433676
640,2,0.953625917,0.95283473,0.954417104
641,2,0.953610632,0.952819983,0.954401281
642,2,0.953596033,0.952805864,0.954386201
643,2,0.953582116,0.952792374,0.954371859
644,2,0.953568881,0.952779516,0.954358246
645,2,0.953556322,0.952767289,0.954345356
646,2,0.953544438,0.952755693,0.954333183
647,2,0.953533224,0.952744729,0.954321718
648,2,0.953522675,0.952734394,0.954310956
649,2,0.953512786,0.952724686,0.954300887
650,2,0.953503553,0.952715602,0.954291504
651,2,0.953494969,0.952707139,0.9542828
652,2,0.953487029,0.952699292,0.954274765
653,2,0.953479724,0.952692056,0.954267392
654,2,0.953473049,0.952685426,0.954260672
655,2,0.953466997,0.952679397,0.954254596
656,2,0.953461558,0.95267396,0.954249155
657,2,0.953456724,0.952669109,0.954244339
658,2,0.953452487,0.952664835,0.954240139
659,2,0.953448837,0.952661131,0.954236544
660,2,0.953445766,0.952657987,0.954233545
661,2,0.953443262,0.952655394,0.954231131
662,2,0.953441316,0.952653341,0.954229292
663,2,0.953439917,0.952651819,0.954228016
664,2,0.953439054,0.952650817,0.954227291
665,2,0.953438715,0.952650322,0.954227107
666,2,0.953438888,0.952650324,0.954227451
667,2,0.953439561,0.952650811,0.954228312
668,2,0.953440722,0.952651769,0.954229676
669,2,0.953442358,0.952653185,0.954231531
670,2,0.953444455,0.952655048,0.954233863
671,2,0.953447001,0.952657342,0.95423666
672,2,0.953449981,0.952660055,0.954239907
673,2,0.953453381,0.952663172,0.95424359
674,2,0.953457187,0.952666678,0.954247695
675,2,0.953461384,0.95267056,0.954252207
676,2,0.953465957,0.952674802,0.954257112
677,2,0.953470892,0.952679389,0.954262394
678,2,0.953476171,0.952684306,0.954268037
679,2,0.953481781,0.952689537,0.954274025
680,2,0.953487705,0.952695067,0.954280343
681,2,0.953493927,0.95270088,0.954286974
682,2,0.95350043,0.95270696,0.954293901
683,2,0.953507199,0.95271329,0.954301107
684,2,0.953514216,0.952719856,0.954308575
685,2,0.953521464,0.952726639,0.954316288
686,2,0.953528926,0.952733625,0.954324227
687,2,0.953536586,0.952740796,0.954332375
688,2,0.953544425,0.952748136,0.954340714
689,2,0.953552427,0.952755629,0.954349225
690,2,0.953560573,0.952763257,0.95435789
691,2,0.953568847,0.952771005,0.954366689
692,2,0.95357723,0.952778855,0.954375604
693,2,0.953585704,0.952786791,0.954384617
694,2,0.953594251,0.952794796,0.954393706
695,2,0.953602854,0.952802853,0.954402854
696,2,0.953611494,0.952810946,0.954412041
697,2,0.953620153,0.952819059,0.954421246
698,2,0.953628812,0.952827173,0.954430452
699,2,0.953637455,0.952835273,0.954439636
700,2,0.953646062,0.952843343,0.954448781
701,2,0.953654615,0.952851365,0.954457866
702,2,0.953663097,0.952859324,0.954466871
703,2,0.953671489,0.952867202,0.954475776
