time,group,mean,P2_5,P97_5,P25,P75,day
27,1,6.130592966,4.946511353,7.317917211,5.718008874,6.536509087,390
27,2,6.755950716,5.798563778,7.716233202,6.421829975,7.083672267,390
27,3,7.701252418,7.083177542,8.319546701,7.487440176,7.909719698,390
28,1,6.119496501,4.937558094,7.304671672,5.707659192,6.524677908,405
28,2,6.743722344,5.788068291,7.702266705,6.410206367,7.070850714,405
28,3,7.687313036,7.070356885,8.304488197,7.473887797,7.895402987,405
29,1,6.108420121,4.92862104,7.291450107,5.697328244,6.512868143,420
29,2,6.731516106,5.777591801,7.688325487,6.398603798,7.058052369,420
29,3,7.673398885,7.057559433,8.289456949,7.460359949,7.88111219,420
30,1,6.097363789,4.919700162,7.278252473,5.687015995,6.501079754,435
30,2,6.719331961,5.767134273,7.674409503,6.387022229,7.045277189,435
30,3,7.659509918,7.044785145,8.274452908,7.446856586,7.866847259,435
31,1,6.08632747,4.910795431,7.265078728,5.676722411,6.489312703,450
31,2,6.70716987,5.756695674,7.660518707,6.375461624,7.032525132,450
31,3,7.645646091,7.032033978,8.259476025,7.433377664,7.852608148,450
32,1,6.075311126,4.901906818,7.251928827,5.666447458,6.47756695,465
32,2,6.695029792,5.746275969,7.646653053,6.363921943,7.019796156,465
32,3,7.631807357,7.019305892,8.24452625,7.419923139,7.83839481,465
33,1,6.064314722,4.893034294,7.238802727,5.656191104,6.465842457,480
33,2,6.682911688,5.735875123,7.632812497,6.352403149,7.00709022,480
33,3,7.617993672,7.006600843,8.229603534,7.406492967,7.824207198,480
34,1,6.053338222,4.884177829,7.225700386,5.645953313,6.454139185,495
34,2,6.670815518,5.725493104,7.618996992,6.340905204,6.994407282,495
34,3,7.604204989,6.993918791,8.214707828,7.393087105,7.810045266,495
35,1,6.043289055,4.875337394,7.216848493,5.635898671,6.443112613,510
35,2,6.659552495,5.715129876,7.608741772,6.329608692,6.982177497,510
35,3,7.590707974,6.982844424,8.201128183,7.380399086,7.797222401,510
36,1,6.068404181,4.883810366,7.296685306,5.65435561,6.483876438,525
36,2,6.680737265,5.723273337,7.671423751,6.346587465,7.014709232,525
36,3,7.600358757,6.977722516,8.298889909,7.383012034,7.821482445,525
37,1,6.353787486,5.034825283,7.623718319,5.898442176,6.798170761,540
37,2,6.948011889,5.829527912,7.955423669,6.558675358,7.328967852,540
37,3,7.832437723,7.063374605,8.562446991,7.542369453,8.110580063,540
38,1,6.632557923,5.493897981,7.721832372,6.246293795,7.007441108,555
38,2,7.205067317,6.215283287,8.083416374,6.888845692,7.504574492,555
38,3,8.055184776,7.373349186,8.625892924,7.84938805,8.250342548,555
39,1,6.658450695,5.595199386,7.721199366,6.287867448,7.021029831,570
39,2,7.216987225,6.361075478,8.078017087,6.918310648,7.510323449,570
39,3,8.06292626,7.507958307,8.616013282,7.871213157,8.249785569,570
40,1,6.646613346,5.588315313,7.70722388,6.277608354,7.00924752,585
40,2,7.205247228,6.350081037,8.063395756,6.906922399,7.496974486,585
40,3,8.048545957,7.497144464,8.60041817,7.858123542,8.235274934,585
41,1,6.634582877,5.578200379,7.693273689,6.266245789,6.996560677,600
41,2,7.192205623,6.338587295,8.048800889,6.894420766,7.48340485,600
41,3,8.033977968,7.48357452,8.584851284,7.843900221,8.220368964,600
42,1,6.622574182,5.568103753,7.679348749,6.254903791,6.983896798,615
42,2,7.179187623,6.327114357,8.034232439,6.881941762,7.469859775,615
42,3,8.019436348,7.470029139,8.569312575,7.829702644,8.205489973,615
43,1,6.610587224,5.558025402,7.665449013,6.243582321,6.971255841,630
43,2,7.166193186,6.315662186,8.019690358,6.869485344,7.456339218,630
43,3,8.004921048,7.456508274,8.553801991,7.815530765,8.190637914,630
44,1,6.598621963,5.547965293,7.651574436,6.232281344,6.958637763,645
44,2,7.15322227,6.304230743,8.005174599,6.857051473,7.442843132,645
44,3,7.990432022,7.443011883,8.538319482,7.801384538,8.175812737,645
45,1,6.586678358,5.537923392,7.637724972,6.221000822,6.946042525,660
45,2,7.14027483,6.292819991,7.990685113,6.844640108,7.429371475,660
45,3,7.97596922,7.42953992,8.522864996,7.787263915,8.161014393,660
46,1,6.574756372,5.527899668,7.623900575,6.209740717,6.933470084,675
46,2,7.127350826,6.281429893,7.976221854,6.832251207,7.415924202,675
46,3,7.961532597,7.416092342,8.507438483,7.773168851,8.146242835,675
47,1,6.562855965,5.517894087,7.610101201,6.198500994,6.9209204,690
47,2,7.114450215,6.270060411,7.961784773,6.81988473,7.402501268,690
47,3,7.947122104,7.402669104,8.492039892,7.759099299,8.131498014,690
48,1,6.550977097,5.507906617,7.596326805,6.187281614,6.90839343,705
48,2,7.101572954,6.258711508,7.947373823,6.807540637,7.38910263,705
48,3,7.932737694,7.389270162,8.476669173,7.745055214,8.116779881,705
49,1,6.539119731,5.497937223,7.582577339,6.176082542,6.895889135,720
49,2,7.088719,6.247383146,7.932988958,6.795218886,7.375728244,720
49,3,7.91837932,7.375895473,8.461326275,7.731036548,8.102088388,720
50,1,6.527283826,5.487985875,7.568852761,6.16490374,6.883407473,735
50,2,7.075888313,6.23607529,7.918630129,6.782919439,7.362378066,735
50,3,7.904046935,7.362544992,8.446011148,7.717043256,8.087423487,735
51,1,6.515469345,5.478052538,7.555153025,6.153745172,6.870948402,750
51,2,7.06308085,6.2247879,7.904297291,6.770642253,7.349052051,750
51,3,7.889740492,7.349218675,8.430723742,7.703075293,8.07278513,750
52,1,6.503676248,5.468137181,7.541478085,6.142606802,6.858511883,765
52,2,7.050296568,6.213520941,7.889990394,6.75838729,7.335750157,765
52,3,7.875459944,7.33591648,8.415464006,7.689132611,8.058173268,765
53,1,6.491904497,5.458239771,7.527827897,6.131488592,6.846097874,780
53,2,7.037535426,6.202274375,7.875709394,6.746154508,7.32247234,780
53,3,7.861205244,7.322638361,8.40023189,7.675215166,8.043587854,780
54,1,6.480154053,5.448360276,7.514202416,6.120390506,6.833706335,795
54,2,7.024797381,6.191048166,7.861454242,6.733943867,7.309218555,795
54,3,7.846976345,7.309384276,8.385027345,7.661322912,8.02902884,795
55,1,6.468424877,5.438498662,7.500601597,6.109312507,6.821337224,810
55,2,7.012082393,6.179842276,7.847224893,6.721755328,7.295988761,810
55,3,7.8327732,7.296154181,8.36985032,7.647455803,8.014496178,810
56,1,6.456716932,5.428654898,7.487025396,6.09825456,6.808990502,825
56,2,6.999390419,6.168656669,7.833021298,6.70958885,7.282782912,825
56,3,7.818595764,7.282948033,8.354700766,7.633613794,7.99998982,825
57,1,6.445030177,5.418828952,7.473473768,6.087216628,6.796666127,840
57,2,6.986721418,6.157491309,7.818843413,6.697444394,7.269600966,840
57,3,7.804443989,7.269765789,8.339578633,7.619796839,7.985509719,840
58,1,6.433364576,5.409020791,7.459946669,6.076198675,6.78436406,855
58,2,6.974075348,6.146346157,7.804691189,6.68532192,7.25644288,855
58,3,7.790317828,7.256607404,8.324483871,7.606004893,7.971055827,855
59,1,6.42172009,5.399230382,7.446444054,6.065200665,6.772084259,870
59,2,6.961452167,6.135221179,7.790564582,6.673221387,7.24330861,870
59,3,7.776217237,7.243472836,8.309416431,7.59223791,7.956628097,870
60,1,6.410096681,5.389457694,7.432965879,6.054222561,6.759826686,885
60,2,6.948851835,6.124116337,7.776463543,6.661142757,7.230198113,885
60,3,7.762142167,7.230362042,8.294376263,7.578495846,7.942226481,885
61,1,6.39849431,5.379702695,7.4195121,6.043264328,6.747591298,900
61,2,6.936274309,6.113031595,7.762388028,6.649085989,7.217111346,900
61,3,7.748092574,7.217274979,8.279363318,7.564778655,7.927850932,900
62,1,6.38691294,5.369965353,7.406082672,6.032325929,6.735378057,915
62,2,6.923719549,6.101966916,7.74833799,6.637051044,7.204048267,915
62,3,7.734068411,7.204211603,8.264377546,7.551086293,7.913501404,915
63,1,6.375352532,5.360245636,7.392677552,6.021407329,6.723186922,930
63,2,6.911187513,6.090922265,7.734313382,6.625037882,7.191008832,930
63,3,7.720069631,7.191171872,8.2494189,7.537418714,7.899177848,930
64,1,6.363813049,5.350543511,7.379296695,6.010508492,6.711017854,945
64,2,6.89867816,6.079897605,7.720314159,6.613046465,7.177992998,945
64,3,7.70609619,7.178155744,8.234487328,7.523775873,7.884880218,945
65,1,6.352294452,5.340858947,7.365940058,5.999629382,6.698870811,960
65,2,6.88619145,6.068892899,7.706340275,6.601076752,7.165000724,960
65,3,7.692148041,7.165163175,8.219582783,7.510157727,7.870608467,960
66,1,6.340796704,5.331191913,7.352607596,5.988769963,6.686745755,975
66,2,6.87372734,6.057908112,7.692391684,6.589128704,7.152031965,975
66,3,7.678225138,7.152194122,8.204705215,7.496564229,7.856362548,975
67,1,6.329319767,5.321542376,7.339299266,5.9779302,6.674642645,990
67,2,6.861285791,6.046943208,7.67846834,6.577202283,7.139086681,990
67,3,7.664327435,7.139248544,8.189854576,7.482995336,7.842142414,990
68,1,6.317863604,5.311910304,7.326015025,5.967110057,6.662561442,1005
68,2,6.848866761,6.035998151,7.664570198,6.565297448,7.126164827,1005
68,3,7.650454888,7.126326397,8.175030817,7.469451002,7.827948019,1005
69,1,6.306428177,5.302295667,7.312754828,5.956309498,6.650502106,1020
69,2,6.83647021,6.025072904,7.650697211,6.553414162,7.113266362,1020
69,3,7.636607451,7.11342764,8.160233889,7.455931184,7.813779316,1020
70,1,6.295013447,5.292698433,7.299518633,5.945528489,6.638464598,1035
70,2,6.824096097,6.014167432,7.636849335,6.541552384,7.100391244,1035
70,3,7.622785077,7.10055223,8.145463744,7.442435838,7.799636259,1035
71,1,6.283619379,5.28311857,7.286306395,5.934766994,6.626448878,1050
71,2,6.811744381,6.003281699,7.623026524,6.529712077,7.087539429,1050
71,3,7.608987722,7.087700124,8.130720333,7.428964917,7.785518801,1050
72,1,6.272245934,5.273556046,7.273118071,5.924024977,6.614454906,1065
72,2,6.799415022,5.992415669,7.609228732,6.5178932,7.074710877,1065
72,3,7.595215341,7.074871281,8.116003607,7.41551838,7.771426895,1065
73,1,6.260893075,5.264010831,7.259953619,5.913302403,6.602482644,1080
73,2,6.787107979,5.981569307,7.595455914,6.506095716,7.061905545,1080
73,3,7.581467887,7.062065658,8.10131352,7.402096181,7.757360497,1080
74,1,6.249560765,5.254482893,7.246812995,5.902599237,6.590532052,1095
74,2,6.774823212,5.970742577,7.581708025,6.494319586,7.04912339,1095
74,3,7.567745317,7.049283214,8.086650021,7.388698276,7.743319558,1095
75,1,6.238248967,5.2449722,7.233696155,5.891915444,6.578603091,1110
75,2,6.762560681,5.959935444,7.56798502,6.48256477,7.036364372,1110
75,3,7.554047585,7.036523906,8.072013064,7.375324622,7.729304034,1110
76,1,6.226957643,5.235478722,7.220603057,5.881250989,6.566695721,1125
76,2,6.750320345,5.949147872,7.554286854,6.470831231,7.023628447,1125
76,3,7.540374646,7.023787693,8.057402599,7.361975174,7.715313878,1125
77,1,6.215686756,5.226002427,7.207533657,5.870605837,6.554809903,1140
77,2,6.738102164,5.938379825,7.540613482,6.45911893,7.010915574,1140
77,3,7.526726455,7.011074532,8.04281858,7.348649889,7.701349045,1140
78,1,6.20443627,5.216543285,7.194487914,5.859979953,6.542945599,1155
78,2,6.725906099,5.927631269,7.526964859,6.447427828,6.998225712,1155
