time,group,median,q1,q3
348,3,6.79058,5.98728,7.40927
352,3,6.78433,5.9817375,7.4024625
356,3,6.778095,5.9762075,7.39566
360,3,6.80043,6.0234,7.4078925
390,3,6.7814,6.03229,7.3763825
394,3,6.77514,6.02674,7.3696
398,3,6.76892,6.0211775,7.36282
402,3,6.762655,6.01561,7.35604
406,3,6.75641,6.010035,7.34928
410,3,6.7502,6.0045375,7.3425425
414,3,6.74396,5.99898,7.33581
418,3,6.73775,5.9934675,7.3290925
422,3,6.731545,5.9878975,7.32237
426,3,6.725315,5.9824275,7.3156425
430,3,6.719175,5.9768875,7.30892
434,3,6.71299,5.97136,7.30215
438,3,6.70682,5.9658575,7.29544
442,3,6.70068,5.96035,7.28876
446,3,6.69451,5.9548775,7.28205
450,3,6.68835,5.94938,7.2753625
454,3,6.68217,5.94396,7.26865
458,3,6.67604,5.938485,7.26193
462,3,6.66989,5.93304,7.25523
466,3,6.66377,5.9276,7.24857
470,3,6.657615,5.92215,7.24191
474,3,6.65147,5.9167075,7.23523
478,3,6.64537,5.911265,7.22855
482,3,6.63926,5.9058375,7.22193
486,3,6.633155,5.90041,7.21529
490,3,6.627035,5.89497,7.2086725
494,3,6.62096,5.88952,7.20204
498,3,6.61487,5.8841,7.1954225
502,3,6.60874,5.8786675,7.1888125
506,3,6.60269,5.8732575,7.18221
510,3,6.59658,5.86784,7.17558
514,3,6.59053,5.86245,7.1690325
518,3,6.584465,5.85706,7.16245
522,3,6.57837,5.85169,7.1558325
526,3,6.572325,5.84632,7.1492225
530,3,6.56627,5.84093,7.14264
534,3,6.56024,5.83554,7.13607
538,3,6.55421,5.83018,7.129465
542,3,6.54816,5.8248175,7.12291
546,3,6.5568,5.8206375,7.14647
550,3,6.79137,6.0804175,7.39827
554,3,6.8231,6.0789,7.4335625
558,3,6.89541,6.22596,7.48684
562,3,6.92734,6.3036175,7.5365
566,3,6.97962,6.36004,7.5713725
570,3,6.99088,6.3967375,7.5666
574,3,6.98771,6.42077,7.55973
578,3,7.05006,6.51232,7.59352
582,3,7.043575,6.50631,7.58656
586,3,7.07968,6.55233,7.5966825
590,3,7.07315,6.54629,7.5897025
594,3,7.06665,6.540285,7.5827125
598,3,7.06011,6.53476,7.57574
602,3,7.05438,6.52879,7.5822425
606,3,7.04786,6.522775,7.57526
