time,group,mean,P2_5,P97_5,P25,P75,day,MCV2
46,1,6.562220779,5.515363098,7.611342772,6.197193626,6.920918546,675,1
46,2,7.114796996,6.268867462,7.963667992,6.819694045,7.403370547,675,1
46,3,7.948994841,7.403556441,8.494867077,7.760620997,8.133685751,675,1
47,1,6.550343061,5.505380209,7.597566128,6.185976613,6.90839158,690,1
47,2,7.101919107,6.257520718,7.949253634,6.807350297,7.389970336,690,1
47,3,7.934607042,7.390155893,8.479491241,7.746574157,8.118963658,690,1
48,1,6.538486843,5.495415388,7.583814419,6.174779903,6.895887288,705,1
48,2,7.089064527,6.246194512,7.934865366,6.795028891,7.376594379,705,1
48,3,7.920245285,7.376779601,8.464143235,7.732552742,8.104268213,705,1
49,1,6.526652084,5.485468604,7.570087602,6.163603459,6.883405629,720,1
49,2,7.076233215,6.234888807,7.920503141,6.782729787,7.363242633,720,1
49,3,7.905909522,7.363427519,8.448823009,7.718556706,8.089599366,720,1
50,1,6.514838746,5.475539824,7.55638563,6.152447245,6.870946562,735,1
50,2,7.063425127,6.223603565,7.906166912,6.770452945,7.349915054,735,1
50,3,7.891599708,7.350099605,8.433530514,7.704586003,8.07495707,735,1
51,1,6.50304679,5.465629015,7.542708459,6.141311224,6.858510046,750,1
51,2,7.050640222,6.21233875,7.891856632,6.758198324,7.336611597,750,1
51,3,7.877315795,7.336795815,8.418265697,7.690640587,8.060341277,750,1
52,1,6.491276179,5.455736145,7.529056044,6.130195358,6.846096041,765,1
52,2,7.037878458,6.201094324,7.877572254,6.745965884,7.323332221,765,1
52,3,7.863057735,7.323516105,8.403028511,7.676720413,8.045751939,765,1
53,1,6.479526872,5.445861181,7.51542834,6.119099613,6.833704504,780,1
53,2,7.025139793,6.18987025,7.86331373,6.733755585,7.31007688,780,1
53,3,7.848825483,7.310260432,8.387818903,7.662825434,8.031189008,780,1
54,1,6.467798831,5.436004091,7.501825303,6.108023951,6.821335397,795,1
54,2,7.012424185,6.178666493,7.849081015,6.721567387,7.296845532,795,1
54,3,7.834618992,7.297028751,8.372636826,7.648955606,8.016652436,795,1
55,1,6.456092019,5.426164842,7.488246887,6.096968337,6.808988678,810,1
55,2,6.999731592,6.167483014,7.834874061,6.709401249,7.283638132,810,1
55,3,7.820438214,7.28382102,8.357482228,7.635110882,8.002142175,810,1
56,1,6.444406396,5.416343403,7.474693048,6.085932733,6.796664307,825,1
56,2,6.987061973,6.156319778,7.820692822,6.697257133,7.270454638,825,1
56,3,7.806283104,7.270637195,8.34235506,7.621291217,7.987658178,825,1
57,1,6.432741924,5.40653974,7.461163742,6.074917104,6.784362243,840,1
57,2,6.974415287,6.145176747,7.806537251,6.685134997,7.257295007,840,1
57,3,7.792153615,7.257477233,8.327255273,7.607496566,7.973200397,840,1
58,1,6.421098565,5.396753823,7.447658924,6.063921413,6.772082446,855,1
58,2,6.961791491,6.134053885,7.792407302,6.673034803,7.244159194,855,1
58,3,7.778049701,7.244341091,8.312182817,7.593726883,7.958768786,855,1
59,1,6.40947628,5.386985618,7.43417855,6.052945625,6.759824876,870,1
59,2,6.949190544,6.122951156,7.778302928,6.66095651,7.231047158,870,1
59,3,7.763971315,7.231228725,8.297137641,7.579982124,7.944363295,870,1
60,1,6.397875033,5.377235093,7.420722576,6.041989703,6.747589491,885,1
60,2,6.936612405,6.111868523,7.764224084,6.64890008,7.217958855,885,1
60,3,7.74991841,7.218140093,8.282119698,7.566262243,7.929983879,885,1
61,1,6.386294783,5.367502217,7.407290957,6.031053611,6.735376254,900,1
61,2,6.924057033,6.100805949,7.750170722,6.636865471,7.204894241,900,1
61,3,7.735890942,7.205075152,8.267128938,7.552567196,7.91563049,900,1
62,1,6.374735494,5.357786958,7.39388365,6.020137314,6.723185122,915,1
62,2,6.911524387,6.089763399,7.736142797,6.624852645,7.191853275,915,1
62,3,7.721888864,7.192033858,8.252165311,7.538896936,7.90130308,915,1
63,1,6.363197128,5.348089284,7.38050061,6.009240775,6.711016056,930,1
63,2,6.899014424,6.078740837,7.722140263,6.612861563,7.178835913,930,1
63,3,7.70791213,7.179016169,8.237228768,7.52525142,7.887001603,930,1
64,1,6.351679646,5.338409162,7.367141794,5.99836396,6.698869017,945,1
64,2,6.886527105,6.067738225,7.708163074,6.600892185,7.165842113,945,1
64,3,7.693960694,7.166022043,8.222319261,7.511630602,7.872726013,945,1
65,1,6.340183011,5.328746562,7.353807157,5.987506831,6.686743964,960,1
65,2,6.874062388,6.056755528,7.694211183,6.588944471,7.152871831,960,1
65,3,7.68003451,7.153051436,8.207436741,7.498034439,7.858476261,960,1
66,1,6.328707185,5.319101451,7.340496656,5.976669355,6.674640858,975,1
66,2,6.861620232,6.04579271,7.680284546,6.577018383,7.139925027,975,1
66,3,7.666133533,7.140104306,8.192581157,7.484462884,7.844252301,975,1
67,1,6.31725213,5.309473798,7.327210247,5.965851494,6.662559658,990,1
67,2,6.849200597,6.034849735,7.666383116,6.565113882,7.127001656,990,1
67,3,7.652257716,7.12718061,8.177752463,7.470915895,7.830054088,990,1
68,1,6.305817809,5.299863571,7.313947887,5.955053213,6.650500325,1005,1
68,2,6.836803442,6.023926567,7.652506848,6.553230928,7.114101676,1005,1
68,3,7.638407016,7.114280307,8.162950609,7.457393425,7.815881573,1005,1
69,1,6.294404185,5.290270739,7.300709532,5.944274478,6.63846282,1020,1
69,2,6.824428725,6.01302317,7.638655697,6.541369482,7.101225046,1020,1
69,3,7.624581385,7.101403353,8.148175546,7.443895432,7.80173471,1020,1
70,1,6.283011219,5.280695269,7.287495139,5.933515252,6.626447103,1035,1
70,2,6.812076407,6.002139508,7.624829616,6.529529505,7.088371722,1035,1
70,3,7.610780779,7.088549707,8.133427227,7.43042187,7.787613454,1035,1
71,1,6.271638875,5.271137132,7.274304664,5.922775501,6.614453135,1050,1
71,2,6.799746447,5.991275546,7.61102856,6.517710959,7.075541664,1050,1
71,3,7.597005152,7.075719326,8.118705602,7.416972695,7.773517757,1050,1
72,1,6.260287115,5.261596295,7.261138064,5.912055189,6.602480876,1065,1
72,2,6.787438805,5.980431247,7.597252485,6.505913805,7.062734827,1065,1
72,3,7.583254459,7.062912168,8.104010624,7.403547864,7.759447574,1065,1
73,1,6.248955902,5.252072727,7.247995295,5.901354281,6.590530287,1080,1
73,2,6.775153439,5.969606577,7.583501344,6.494138004,7.049951172,1080,1
73,3,7.569528655,7.050128192,8.089342243,7.390147332,7.745402858,1080,1
74,1,6.237645198,5.242566397,7.234876316,5.890672741,6.578601329,1095,1
74,2,6.76289031,5.9588015,7.569775093,6.482383517,7.037190655,1095,1
74,3,7.555827695,7.037367354,8.074700413,7.376771054,7.731383563,1095,1
75,1,6.226354967,5.233077274,7.221781081,5.880010536,6.566693962,1110,1
75,2,6.750649377,5.948015981,7.556073687,6.470650306,7.024453235,1110,1
75,3,7.542151534,7.024629614,8.060085084,7.363418989,7.717389643,1110,1
76,1,6.215085172,5.223605325,7.20870955,5.869367629,6.554808148,1125,1
76,2,6.738430601,5.937249983,7.542397081,6.458938332,7.011738869,1125,1
76,3,7.528500127,7.01191493,8.04549621,7.35009109,7.703421052,1125,1
77,1,6.203835775,5.214150522,7.195661678,5.858743986,6.542943847,1140,1
77,2,6.726233941,5.926503472,7.52874523,6.447247557,6.999047517,1140,1
77,3,7.514873429,6.999223259,8.030933742,7.336787315,7.689477745,1140,1
78,1,6.192606739,5.204712831,7.182637422,5.848139571,6.531101021,1155,1
78,2,6.714059357,5.915776412,7.515118088,6.435577943,6.986379137,1155,1
78,3,7.501271396,6.98655456,8.016397632,7.323507621,7.675559676,1155,1
79,1,6.181398028,5.195292223,7.169636741,5.837554351,6.519279631,1170,1
79,2,6.701906809,5.905068768,7.501515612,6.423929451,6.973733686,1170,1
79,3,7.487693983,6.973908792,8.001887832,7.310251963,7.661666798,1170,1
80,1,6.170209606,5.185888667,7.156659592,5.826988291,6.507479637,1185,1
80,2,6.689776258,5.894380505,7.487937757,6.412302042,6.961111124,1185,1
80,3,7.474141145,6.961285913,7.987404296,7.297020297,7.647799066,1185,1
81,1,6.159041434,5.176502131,7.143705931,5.816441355,6.495701002,1200,1
81,2,6.677667663,5.883711588,7.474384478,6.40069568,6.948511409,1200,1
81,3,7.460612837,6.948685881,7.972946974,7.283812582,7.633956436,1200,1
82,1,6.147893477,5.167132585,7.130775716,5.805913509,6.483943686,1215,1
82,2,6.665580985,5.873061983,7.46085573,6.389110325,6.935934499,1215,1
82,3,7.447109017,6.936108656,7.958515821,7.270628772,7.620138861,1215,1
83,1,6.136765698,5.157779997,7.117868906,5.795404719,6.472207651,1230,1
83,2,6.653516183,5.862431653,7.44735147,6.37754594,6.923380354,1230,1
83,3,7.433629638,6.923554196,7.944110789,7.257468825,7.606346295,1230,1
84,1,6.12565806,5.148444339,7.104985457,5.78491495,6.460492858,1245,1
84,2,6.64147322,5.851820564,7.433871652,6.366002486,6.910848932,1245,1
84,3,7.420174657,6.911022459,7.929731829,7.244332698,7.592578695,1245,1
85,1,6.114570528,5.139125577,7.092125327,5.774444167,6.44879927,1260,1
85,2,6.629452054,5.841228681,7.420416233,6.354479927,6.898340192,1260,1
85,3,7.40674403,6.898513405,7.915378896,7.231220348,7.578836014,1260,1
86,1,6.103503064,5.129823683,7.079288474,5.763992337,6.437126847,1275,1
86,2,6.617452647,5.83065597,7.406985169,6.342978223,6.885854093,1275,1
86,3,7.393337713,6.886026993,7.901051942,7.218131731,7.565118208,1275,1
87,1,6.092455632,5.120538626,7.066474856,5.753559425,6.425475551,1290,1
87,2,6.605474958,5.820102395,7.393578415,6.331497338,6.873390595,1290,1
87,3,7.379955661,6.873563181,7.88675092,7.205066805,7.551425231,1290,1
88,1,6.081428196,5.111270374,7.053684431,5.743145396,6.413845344,1305,1
88,2,6.59351895,5.809567923,7.380195928,6.320037233,6.860949655,1305,1
88,3,7.366597831,6.861121929,7.872475783,7.192025526,7.537757038,1305,1
89,1,6.07042072,5.102018899,7.040917157,5.732750217,6.402236188,1320,1
89,2,6.581584582,5.799052518,7.366837663,6.308597871,6.848531234,1320,1
89,3,7.353264179,6.848703196,7.858226484,7.179007852,7.524113585,1320,1
90,1,6.059433168,5.092784168,7.028172992,5.722373854,6.390648045,1335,1
90,2,6.569671816,5.788556147,7.353503577,6.297179215,6.83613529,1335,1
90,3,7.339954661,6.836306941,7.844002977,7.166013741,7.510494827,1335,1
91,1,6.048465503,5.083566153,7.015451893,5.712016271,6.379080876,1350,1
91,2,6.557780612,5.778078773,7.340193625,6.285781226,6.823761783,1350,1
91,3,7.326669233,6.823933123,7.829805214,7.153043149,7.496900719,1350,1
92,1,6.03751769,5.074364822,7.002753821,5.701677437,6.367534645,1365,1
92,2,6.545910931,5.767620365,7.326907765,6.274403868,6.811410672,1365,1
92,3,7.313407853,6.811581702,7.81563315,7.140096034,7.483331217,1365,1
93,1,6.026589693,5.065180146,6.990078732,5.691357315,6.356009312,1380,1
93,2,6.534062734,5.757180885,7.313645953,6.263047103,6.799081917,1380,1
93,3,7.300170475,6.799252637,7.801486737,7.127172353,7.469786276,1380,1
94,1,6.015681476,5.056012094,6.977426585,5.681055874,6.34450484,1395,1
94,2,6.522235983,5.746760302,7.300408144,6.251710895,6.786775477,1395,1
94,3,7.286957057,6.786945889,7.78736593,7.114272065,7.456265851,1395,1
95,1,6.004793002,5.046860637,6.964797338,5.670773077,6.333021192,1410,1
95,2,6.510430638,5.73635858,7.287194296,6.240395204,6.774491312,1410,1
95,3,7.273767556,6.774661415,7.773270681,7.101395126,7.442769898,1410,1
96,1,5.993924237,5.037725743,6.952190951,5.660508893,6.321558329,1425,1
96,2,6.498646662,5.725975685,7.274004366,6.229099996,6.762229381,1425,1
96,3,7.260601928,6.762399177,7.759200945,7.088541495,7.429298374,1425,1
97,1,5.983075145,5.028607385,6.939607381,5.650263288,6.310116213,1440,1
97,2,6.486884014,5.715611584,7.260838309,6.217825232,6.749989645,1440,1
97,3,7.24746013,6.750159133,7.745156675,7.075711129,7.415851232,1440,1
98,1,5.97224569,5.01950553,6.927046588,5.640036227,6.298694809,1455,1
98,2,6.475142657,5.705266241,7.247696083,6.206570875,6.737772063,1455,1
98,3,7.234342119,6.737941244,7.731137826,7.062903986,7.402428431,1455,1
99,1,5.961435836,5.01042015,6.914508531,5.629827677,6.287294077,1470,1
99,2,6.463422552,5.694939624,7.234577645,6.195336889,6.725576595,1470,1
99,3,7.221247852,6.72574547,7.717144351,7.050120024,7.389029925,1470,1
100,1,5.950645548,5.001351215,6.901993167,5.619637605,6.275913981,1485,1
100,2,6.451723661,5.684631698,7.221482951,6.184123237,6.713403201,1485,1
100,3,7.208177285,6.71357177,7.703176204,7.037359201,7.37565567,1485,1
101,1,5.93987479,4.992298694,6.889500456,5.609465977,6.264554483,1500,1
101,2,6.440045944,5.67434243,7.208411959,6.172929881,6.701251841,1500,1
101,3,7.195130377,6.701420105,7.68923334,7.024621476,7.362305623,1500,1
102,1,5.929123528,4.983262559,6.877030357,5.599312759,6.253215546,1515,1
102,2,6.428389365,5.664071785,7.195364626,6.161756786,6.689122475,1515,1
102,3,7.182107083,6.689290434,7.675315713,7.011906806,7.34897974,1515,1
103,1,5.918391726,4.974242779,6.86458283,5.58917792,6.241897132,1530,1
103,2,6.416753884,5.653819731,7.182340909,6.150603914,6.677015063,1530,1
103,3,7.169107362,6.677182719,7.661423277,6.99921515,7.335677977,1530,1
104,1,5.907679348,4.965239326,6.852157832,5.579061424,6.230599205,1545,1
104,2,6.405139464,5.643586233,7.169340764,6.139471229,6.664929566,1545,1
104,3,7.156131171,6.665096918,7.647555986,6.986546466,7.32240029,1545,1
105,1,5.896986361,4.956252168,6.839755324,5.56896324,6.219321727,1560,1
105,2,6.393546066,5.633371257,7.15636415,6.128358694,6.652865944,1560,1
105,3,7.143178466,6.653032993,7.633713795,6.973900713,7.309146636,1560,1
106,1,5.886312727,4.947281278,6.827375265,5.558883333,6.208064662,1575,1
106,2,6.381973652,5.623174771,7.143411024,6.117266274,6.640824157,1575,1
106,3,7.130249206,6.640990904,7.619896659,6.961277848,7.295916972,1575,1
107,1,5.875658413,4.938326625,6.815017613,5.548821671,6.196827972,1590,1
107,2,6.370422184,5.612996741,7.130481344,6.10619393,6.628804166,1590,1
107,3,7.117343349,6.628970611,7.606104533,6.948677831,7.282711253,1590,1
108,1,5.865023384,4.92938818,6.80268233,5.538778221,6.185611621,1605,1
108,2,6.358891625,5.602837133,7.117575066,6.095141628,6.616805931,1605,1
108,3,7.104460851,6.616972075,7.59233737,6.936100621,7.269529437,1605,1
109,1,5.854407604,4.920465913,6.790369373,5.528752949,6.174415571,1620,1
109,2,6.347381936,5.592695914,7.104692148,6.084109331,6.604829414,1620,1
109,3,7.091601671,6.604995257,7.578595126,6.923546175,7.25637148,1620,1
110,1,5.843811038,4.911559797,6.778078703,5.518745824,6.163239787,1635,1
110,2,6.33589308,5.582573051,7.09183255,6.073097002,6.592874574,1635,1
110,3,7.078765766,6.593040117,7.564877755,6.911014453,7.243237339,1635,1
111,1,5.833233653,4.9026698,6.765810279,5.508756812,6.152084231,1650,1
111,2,6.324425018,5.57246851,7.078996227,6.062104605,6.580941372,1650,1
111,3,7.065953094,6.581106616,7.551185213,6.898505413,7.230126971,1650,1
112,1,5.822675413,4.893795894,6.753564061,5.498785879,6.140948866,1665,1
112,2,6.312977715,5.562382259,7.066183138,6.051132105,6.56902977,1665,1
112,3,7.053163613,6.569194714,7.537517455,6.886019015,7.217040333,1665,1
113,1,5.812136283,4.884938051,6.74134001,5.488832995,6.129833657,1680,1
113,2,6.301551131,5.552314264,7.053393241,6.040179466,6.557139728,1680,1
113,3,7.040397282,6.557304374,7.523874436,6.873555218,7.203977382,1680,1
114,1,5.80161623,4.87609624,6.729138083,5.478898125,6.118738567,1695,1
114,2,6.290145229,5.542264492,7.040626493,6.029246651,6.545271207,1695,1
114,3,7.027654057,6.545435555,7.510256111,6.86111398,7.190938076,1695,1
115,1,5.791115218,4.867270433,6.716958243,5.468981238,6.107663558,1710,1
115,2,6.278759972,5.53223291,7.027882854,6.018333624,6.533424169,1710,1
115,3,7.014933898,6.533588219,7.496662435,6.848695262,7.17792237,1710,1
116,1,5.780633213,4.8584606,6.704800448,5.4590823,6.096608596,1725,1
116,2,6.267395323,5.522219486,7.015162281,6.007440351,6.521598573,1725,1
116,3,7.002236763,6.521762326,7.483093364,6.836299021,7.164930224,1725,1
117,1,5.77017018,4.849666714,6.692664659,5.449201279,6.085573644,1740,1
117,2,6.256051244,5.512224186,7.002464733,5.996566794,6.509794382,1740,1
117,3,6.98956261,6.509957839,7.469548853,6.823925217,7.151961593,1740,1
118,1,5.759726086,4.840888745,6.680550836,5.439338144,6.074558664,1755,1
118,2,6.244727697,5.502246978,6.989790167,5.985712918,6.498011557,1755,1
118,3,6.976911397,6.498174718,7.456028858,6.811573811,7.139016435,1755,1
119,1,5.749300896,4.832126664,6.668458939,5.42949286,6.063563622,1770,1
119,2,6.233424647,5.492287829,6.977138542,5.974878688,6.486250059,1770,1
119,3,6.964283083,6.486412925,7.442533335,6.79924476,7.126094709,1770,1
120,1,5.738894575,4.823380443,6.656388929,5.419665397,6.052588482,1785,1
120,2,6.222142055,5.482346706,6.964509817,5.964064069,6.47450985,1785,1
120,3,6.951677627,6.474672421,7.429062238,6.786938026,7.113196371,1785,1
121,1,5.72850709,4.814650052,6.644340765,5.409855722,6.041633206,1800,1
